HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Verona,1,1,D,0,0,D,2,1,0,0
Fiorentina,2,0,H,1,0,H,3,2,0,1
Frosinone,1,2,A,1,0,H,2,2,0,0
Inter,1,0,H,0,0,D,2,2,0,1
Juventus,0,1,A,0,0,D,1,3,0,0
Sassuolo,2,1,H,1,1,D,4,2,0,0
Milan,2,1,H,1,1,D,0,2,0,0
Genoa,2,0,H,0,0,D,2,2,0,0
Napoli,2,2,D,2,0,H,0,2,0,0
Roma,2,1,H,0,0,D,3,2,0,2
Fiorentina,1,0,H,0,0,D,2,4,1,0
Frosinone,0,2,A,0,1,A,4,3,0,0
Juventus,1,1,D,0,1,A,3,5,0,0
Inter,1,0,H,0,0,D,2,3,0,0
Sassuolo,2,2,D,2,2,D,3,4,1,1
Verona,2,2,D,0,0,D,5,2,0,0
Milan,3,2,H,2,1,H,1,2,0,0
Genoa,0,2,A,0,1,A,1,4,1,0
Napoli,5,0,H,2,0,H,1,2,0,0
Roma,2,2,D,1,2,A,2,3,0,0
Fiorentina,2,0,H,0,0,D,1,2,0,0
Inter,1,0,H,0,0,D,4,4,0,0
Juventus,1,1,D,0,0,D,2,3,0,0
Napoli,2,1,H,1,0,H,2,4,0,0
Roma,5,1,H,3,1,H,1,1,0,0
Genoa,1,0,H,1,0,H,4,4,0,1
Inter,1,4,A,0,3,A,4,2,1,0
Sassuolo,1,1,D,1,1,D,3,1,0,0
Verona,1,2,A,1,0,H,2,2,0,1
Frosinone,2,0,H,0,0,D,3,4,0,1
Fiorentina,3,0,H,2,0,H,0,2,0,1
Juventus,3,1,H,1,1,D,1,5,0,0
Milan,0,4,A,0,1,A,3,3,0,0
Roma,3,1,H,0,0,D,1,1,0,0
Frosinone,2,0,H,0,0,D,2,4,0,0
Genoa,3,2,H,2,1,H,2,2,1,0
Inter,0,0,D,0,0,D,3,5,0,0
Napoli,2,1,H,0,0,D,3,4,0,0
Sassuolo,2,1,H,1,0,H,1,3,0,1
Verona,1,1,D,1,0,H,2,2,0,0
Fiorentina,1,2,A,0,2,A,2,4,0,1
Juventus,2,0,H,1,0,H,2,2,0,1
Milan,2,1,H,1,0,H,1,3,0,1
Frosinone,2,1,H,0,0,D,1,3,1,1
Milan,1,0,H,0,0,D,0,2,0,0
Napoli,2,0,H,1,0,H,0,0,0,0
Roma,3,1,H,2,0,H,1,3,0,0
Sassuolo,1,0,H,1,0,H,5,2,0,1
Verona,0,2,A,0,1,A,5,2,0,0
