HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HY,AY,HR,AR
Chelsea,2,2,D,2,1,H,M Oliver,1,3,1,0
Leicester,4,2,H,3,0,H,L Mason,2,4,0,0
Man United,1,0,H,1,0,H,J Moss,2,3,0,0
Arsenal,0,2,A,0,1,A,M Atkinson,1,3,0,0
Newcastle,2,2,D,1,1,D,C Pawson,2,4,0,0
Aston Villa,0,1,A,0,1,A,M Dean,2,2,0,0
Southampton,0,3,A,0,2,A,M Oliver,4,2,0,0
Tottenham,2,2,D,2,0,H,R Madley,2,2,0,0
Man City,3,0,H,1,0,H,M Atkinson,4,2,0,0
Liverpool,1,0,H,1,0,H,C Pawson,1,4,0,0
Leicester,1,1,D,0,0,D,M Atkinson,1,4,0,0
Man United,0,0,D,0,0,D,C Pawson,2,2,0,0
Arsenal,0,0,D,0,0,D,M Oliver,1,4,0,0
Aston Villa,2,2,D,2,1,H,R Madley,2,1,0,0
Chelsea,1,2,A,0,0,D,C Pawson,1,1,0,0
Liverpool,0,3,A,0,2,A,K Friend,3,1,1,1
Man City,2,0,H,0,0,D,M Clattenburg,1,2,0,0
Newcastle,0,1,A,0,0,D,A Marriner,6,1,1,0
Tottenham,0,0,D,0,0,D,M Jones,4,1,0,0
Southampton,3,0,H,1,0,H,J Moss,0,0,0,1
Arsenal,2,0,H,1,0,H,J Moss,1,1,0,0
Man United,3,1,H,0,0,D,M Oliver,1,2,0,0
Leicester,3,2,H,0,1,A,M Dean,2,1,0,0
Aston Villa,0,1,A,0,1,A,M Atkinson,2,3,0,0
Chelsea,2,0,H,0,0,D,M Dean,3,1,0,2
Man City,1,2,A,1,2,A,R Madley,1,2,0,0
Newcastle,1,2,A,0,2,A,R East,1,2,0,0
Liverpool,1,1,D,0,0,D,A Taylor,1,2,0,0
Southampton,2,3,A,1,1,D,M Clattenburg,2,0,0,0
Tottenham,1,0,H,0,0,D,M Oliver,1,2,0,0
Leicester,2,5,A,1,2,A,C Pawson,1,1,0,0
Liverpool,3,2,H,1,0,H,J Moss,0,0,0,0
Man United,3,0,H,1,0,H,M Jones,0,3,0,0
Newcastle,2,2,D,1,0,H,M Atkinson,1,2,0,0
Southampton,3,1,H,1,0,H,R East,3,1,0,0
Tottenham,4,1,H,1,1,D,M Clattenburg,5,1,0,0
Aston Villa,0,1,A,0,0,D,M Jones,1,0,0,0
Chelsea,1,3,A,1,1,D,R Madley,2,5,0,0
Man City,6,1,H,1,1,D,K Friend,3,1,0,0
Arsenal,3,0,H,3,0,H,A Taylor,1,3,0,0
Chelsea,2,0,H,1,0,H,R East,1,3,0,0
Man City,5,1,H,4,1,H,M Dean,2,1,0,0
Southampton,2,2,D,2,0,H,P Tierney,2,0,0,0
Tottenham,0,0,D,0,0,D,C Pawson,1,2,0,0
Newcastle,6,2,H,3,2,H,A Taylor,1,1,0,0
Arsenal,2,1,H,2,1,H,L Mason,2,0,0,1
Aston Villa,1,2,A,0,0,D,N Swarbrick,2,3,0,0
Leicester,1,0,H,0,0,D,M Dean,3,1,0,0
Liverpool,1,1,D,0,0,D,A Marriner,1,0,0,1
Man United,0,0,D,0,0,D,M Clattenburg,2,2,0,0
Chelsea,1,3,A,1,1,D,M Clattenburg,1,4,0,0
Man City,2,1,H,0,0,D,R Madley,2,2,0,1
Newcastle,0,0,D,0,0,D,R East,1,3,0,0
Southampton,2,0,H,2,0,H,C Pawson,0,2,1,0
Tottenham,3,1,H,2,0,H,M Dean,0,3,0,0
Leicester,2,1,H,0,0,D,R East,0,1,0,0
Man United,2,0,H,0,0,D,M Dean,1,3,0,1
Arsenal,1,1,D,0,1,A,M Atkinson,0,1,0,0
