HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Bayern Munich,5,0,H,1,0,H,2,2,0,0
Augsburg,0,1,A,0,0,D,1,2,1,1
Darmstadt,2,2,D,1,0,H,1,2,0,0
Dortmund,4,0,H,3,0,H,0,1,0,0
Leverkusen,2,1,H,1,1,D,1,0,0,0
Stuttgart,1,3,A,0,0,D,3,2,0,0
Wolfsburg,2,1,H,2,1,H,1,1,0,0
Hoffenheim,1,2,A,1,1,D,0,0,0,0
Schalke 04,1,1,D,0,1,A,1,2,0,0
M'gladbach,1,2,A,0,1,A,2,1,0,0
Wolfsburg,3,0,H,1,0,H,1,2,0,0
Augsburg,0,1,A,0,0,D,3,3,0,0
Bayern Munich,3,0,H,1,0,H,2,3,0,0
Darmstadt,0,0,D,0,0,D,3,2,0,0
Stuttgart,1,4,A,1,2,A,3,3,1,0
Dortmund,3,1,H,1,0,H,0,2,0,0
M'gladbach,0,3,A,0,2,A,2,1,0,0
Bayern Munich,2,1,H,0,1,A,0,1,0,0
Leverkusen,0,1,A,0,1,A,3,1,0,0
Hoffenheim,1,3,A,0,1,A,2,4,0,0
Schalke 04,2,1,H,1,1,D,1,3,0,0
Darmstadt,0,3,A,0,1,A,2,1,0,0
Wolfsburg,2,0,H,0,0,D,1,2,0,0
Augsburg,2,0,H,2,0,H,1,4,0,0
Dortmund,3,0,H,1,0,H,1,3,0,0
Stuttgart,0,1,A,0,0,D,3,3,0,0
Bayern Munich,5,1,H,0,1,A,1,2,0,0
Darmstadt,2,1,H,1,1,D,3,1,0,1
Hoffenheim,1,1,D,1,0,H,2,1,0,0
Leverkusen,1,0,H,0,0,D,3,0,0,0
M'gladbach,4,2,H,4,0,H,2,5,0,0
Schalke 04,2,0,H,0,0,D,2,2,0,0
Augsburg,1,3,A,1,1,D,1,4,0,0
Stuttgart,1,3,A,1,2,A,4,1,0,0
Wolfsburg,1,1,D,1,0,H,2,2,0,0
Dortmund,2,2,D,0,1,A,0,2,0,0
Darmstadt,2,3,A,1,2,A,1,2,0,0
Hoffenheim,2,2,D,1,0,H,3,1,0,0
M'gladbach,2,0,H,0,0,D,2,3,0,0
