HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Ath Madrid,1,0,H,1,0,H,2,0,0,0
Espanol,1,0,H,1,0,H,2,3,0,1
Betis,1,1,D,0,1,A,3,1,0,1
Levante,1,2,A,0,1,A,1,3,1,0
Villarreal,3,1,H,0,1,A,1,6,0,0
Barcelona,1,0,H,0,0,D,0,3,0,0
Real Madrid,5,0,H,2,0,H,3,3,0,0
Sociedad,0,0,D,0,0,D,4,5,0,0
Sevilla,0,3,A,0,1,A,3,4,0,0
Valencia,1,1,D,1,1,D,2,1,1,0
Levante,1,1,D,0,1,A,3,3,0,0
Ath Madrid,1,2,A,0,0,D,3,1,0,0
Betis,1,0,H,1,0,H,4,3,1,0
Espanol,0,6,A,0,4,A,2,2,0,0
Real Madrid,1,0,H,0,0,D,1,3,0,0
Sociedad,2,3,A,1,1,D,2,3,1,0
Valencia,0,0,D,0,0,D,4,2,0,1
Barcelona,4,1,H,0,0,D,0,1,0,0
Sevilla,1,2,A,0,2,A,3,5,0,1
Villarreal,3,1,H,1,0,H,4,4,0,0
Ath Madrid,2,0,H,1,0,H,3,2,0,0
Espanol,1,0,H,1,0,H,5,7,0,0
Levante,2,2,D,0,1,A,2,5,0,0
Betis,1,2,A,0,0,D,3,5,0,0
Valencia,1,0,H,1,0,H,3,3,0,0
Barcelona,2,1,H,1,0,H,2,4,0,0
Real Madrid,0,0,D,0,0,D,4,4,0,1
Sevilla,3,2,H,2,0,H,1,2,0,1
Villarreal,1,0,H,1,0,H,2,2,0,0
Sociedad,0,0,D,0,0,D,3,4,0,0
Espanol,1,2,A,0,1,A,3,3,0,0
Sevilla,2,1,H,0,0,D,5,3,0,0
Ath Madrid,1,1,D,0,1,A,6,4,0,0
Levante,1,0,H,0,0,D,4,3,0,1
Barcelona,5,2,H,2,1,H,1,2,0,0
Betis,1,3,A,0,1,A,2,4,0,0
Real Madrid,3,0,H,2,0,H,1,4,0,0
Valencia,3,0,H,2,0,H,3,3,0,0
Sociedad,0,2,A,0,1,A,4,5,2,0
Villarreal,1,2,A,0,1,A,1,3,1,0
Sevilla,5,0,H,2,0,H,1,1,0,1
Ath Madrid,2,1,H,2,0,H,4,4,0,0
Barcelona,3,1,H,1,1,D,3,5,1,0
Levante,0,4,A,0,2,A,4,3,1,0
Real Madrid,3,1,H,3,1,H,0,3,0,0
Sociedad,2,3,A,2,1,H,2,5,0,0
Valencia,3,0,H,0,0,D,2,3,0,0
Villarreal,2,1,H,1,0,H,5,3,0,0
Betis,1,3,A,0,2,A,2,4,0,0
Espanol,1,1,D,0,0,D,1,6,1,0
Levante,1,1,D,0,1,A,4,2,0,0
Ath Madrid,1,0,H,0,0,D,4,3,0,0
Barcelona,3,0,H,0,0,D,5,3,0,0
Sevilla,3,2,H,1,1,D,1,1,0,0
Espanol,2,0,H,2,0,H,3,2,0,0
Real Madrid,0,4,A,0,2,A,3,2,1,0
Sociedad,2,0,H,0,0,D,2,1,0,0
Valencia,1,1,D,1,0,H,3,3,0,0
Betis,0,1,A,0,1,A,1,4,0,0
Villarreal,1,1,D,0,1,A,3,2,0,1
Levante,0,1,A,0,1,A,6,4,1,1
Ath Madrid,1,0,H,1,0,H,0,4,0,0
Barcelona,4,0,H,2,0,H,0,5,0,0
Sevilla,1,0,H,0,0,D,3,2,0,2
Betis,1,1,D,0,1,A,5,5,0,1
Real Madrid,4,1,H,4,0,H,1,0,0,0
Valencia,1,1,D,0,0,D,3,1,0,0
Sociedad,2,1,H,1,1,D,3,3,0,0
Villarreal,2,1,H,0,1,A,1,4,0,0
Espanol,1,1,D,0,1,A,4,5,0,0
Barcelona,2,2,D,1,0,H,0,2,0,0
Levante,1,2,A,0,0,D,2,2,0,0
Sevilla,2,0,H,0,0,D,3,2,0,1
Ath Madrid,2,1,H,1,1,D,1,1,0,0
Villarreal,1,0,H,1,0,H,2,2,0,0
Betis,0,0,D,0,0,D,7,5,0,0
Espanol,1,0,H,0,0,D,4,4,0,0
Valencia,2,2,D,2,2,D,2,6,0,0
Real Madrid,10,2,H,4,2,H,1,2,0,2
Sociedad,0,2,A,0,1,A,2,1,0,0
Barcelona,4,0,H,2,0,H,1,3,0,0
Levante,0,1,A,0,0,D,7,5,0,0
